AÑO;MES;PAIS_ORIGEN;CCAA;KEY;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA;Afluencia
2019;1;Alemania;Andalucía;2019Andalucía;Cádiz;77,86;72,84;90,13;55,88;65850810
2019;1;Alemania;Andalucía;2019Andalucía;Málaga;86,9;79,47;96,47;76,46;65850810
2019;1;Alemania;Andalucía;2019Andalucía;Sevilla;88,7;77,11;95,74;87,37;65850810
2019;1;Alemania;Canarias;2019Canarias;Las Palmas;84,62;80,84;96,87;65,24;57309720
2019;1;Alemania;Canarias;2019Canarias;Santa Cruz de Tenerife;84,4;78,14;94,49;70,43;57309720
2019;1;Alemania;Cataluña;2019Cataluña;Barcelona;90,68;78,36;97,68;91,47;101177630
2019;1;Alemania;Comunidad de Madrid;2019Comunidad de Madrid;Madrid;87,56;74,62;93,9;88,01;33445060
2019;1;Alemania;Comunitat Valenciana;2019Comunitat Valenciana;Valencia/València;86,37;71,42;95,9;84,79;48280540
2019;1;Alemania;Illes Balears;2019Illes Balears;Illes Balears;87,36;75,11;98,32;81,31;74089430
2019;1;Alemania;País Vasco;2019País Vasco;Gipuzkoa;79,77;66,37;84,46;78,07;14981340
2019;1;Dinamarca;Andalucía;2019Andalucía;Málaga;84;82,27;77,92;83,77;65850810
2019;1;España;Andalucía;2019Andalucía;Almería;80,65;54,58;91,01;95,68;65850810
2019;1;España;Andalucía;2019Andalucía;Cádiz;83,08;64,87;93,4;92,37;65850810
2019;1;España;Andalucía;2019Andalucía;Córdoba;76,72;59,11;89,21;77,81;65850810
2019;1;España;Andalucía;2019Andalucía;Granada;87,58;69,11;96,16;92,01;65850810
2019;1;España;Andalucía;2019Andalucía;Huelva;82,18;65,63;90,57;98,46;65850810
2019;1;España;Andalucía;2019Andalucía;Jaén;80,9;66,6;87,74;97,88;65850810
2019;1;España;Andalucía;2019Andalucía;Málaga;86,38;71,07;93,61;87,89;65850810
